      -2.1108150,     -1.8556976,     -1.5537229,     -1.2489905,     -1.0666914,     -1.0680630,     -1.2549887,     -1.5613985,     -1.8618953,     -2.1151903,
      -1.9016869,     -1.5074079,     -0.9028931,      0.1173956,      0.7389674,      0.7664251,      0.0883639,     -0.9242637,     -1.5187254,     -1.9079463,
      -1.6985602,     -1.1093626,      0.2782788,     15.0750999,     66.1414719,     14.3030367,     72.5192566,      0.2007890,     -1.1286464,     -1.7063904,
      -1.5432365,     -0.7865481,      2.4645925,     16.4685040,     16.4302197,     82.5970535,     72.6983261,      2.0720804,     -0.8089733,     -1.5503471,
      -1.4678445,     -0.6848342,      1.3856161,     27.6656151,     13.6839437,     29.9407864,    100.0000000,      1.3516595,     -0.6938198,     -1.4707348,
      -1.4707344,     -0.6938193,      1.3516605,    100.0000000,     29.9407864,     13.6839428,     27.6655922,      1.3856153,     -0.6848345,     -1.4678447,
      -1.5503469,     -0.8089733,      2.0720813,     72.6989059,     82.5979462,     16.4302197,     16.4685059,      2.4645875,     -0.7865484,     -1.5432367,
      -1.7063899,     -1.1286461,      0.2007890,     72.5189133,     14.3030367,     66.1414566,     15.0751019,      0.2782779,     -1.1093628,     -1.6985605,
      -1.9079463,     -1.5187254,     -0.9242640,      0.0883636,      0.7664239,      0.7389665,      0.1173942,     -0.9028935,     -1.5074084,     -1.9016871,
      -2.1151903,     -1.8618953,     -1.5613987,     -1.2549889,     -1.0680637,     -1.0666914,     -1.2489913,     -1.5537229,     -1.8556979,     -2.1108153,
